,areaname,population,date,newcasesbypublishdate,cases_per_100k
5132,Northern Ireland,1885000,03/03/2021,226,11.989389920424404
6066,Scotland,5454000,03/04/2020,399,7.315731573157316
4859,Wales,3136000,03/04/2020,345,11.001275510204081
5466,Northern Ireland,1885000,03/04/2020,130,6.8965517241379315
4494,Wales,3136000,03/04/2021,95,3.0293367346938775
2864,South East,9175000,03/04/2021,236,2.572207084468665
5101,Northern Ireland,1885000,03/04/2021,84,4.456233421750664
3400,South West,5616000,03/04/2021,115,2.0477207977207974
5701,Scotland,5454000,03/04/2021,397,7.279061239457279
1256,London,8899375,03/04/2021,350,3.9328604536835456
1792,North East,2597000,03/04/2021,166,6.391990758567578
2328,North West,7300000,03/04/2021,437,5.986301369863013
720,East of England,5847000,03/04/2021,227,3.882332820249701
3936,West Midlands,2928000,03/04/2021,303,10.348360655737705
184,East Midlands,4533000,03/04/2021,291,6.41958967571145
2663,North West,7300000,03/05/2020,690,9.452054794520548
4271,West Midlands,2928000,03/05/2020,175,5.976775956284153
3735,South West,5616000,03/05/2020,84,1.4957264957264957
519,East Midlands,4533000,03/05/2020,71,1.5662916390911095
3199,South East,9175000,03/05/2020,213,2.321525885558583
6036,Scotland,5454000,03/05/2020,170,3.116978364503117
2127,North East,2597000,03/05/2020,223,8.586830958798613
4829,Wales,3136000,03/05/2020,174,5.548469387755102
5436,Northern Ireland,1885000,03/05/2020,78,4.137931034482759
1055,East of England,5847000,03/05/2020,158,2.702240465195827
1591,London,8899375,03/05/2020,128,1.4383032516328396
690,East of England,5847000,03/05/2021,154,2.633829314178211
5071,Northern Ireland,1885000,03/05/2021,64,3.3952254641909816
2298,North West,7300000,03/05/2021,224,3.068493150684932
1226,London,8899375,03/05/2021,193,2.168691621602641
3906,West Midlands,2928000,03/05/2021,137,4.6789617486338795
5671,Scotland,5454000,03/05/2021,132,2.4202420242024205
154,East Midlands,4533000,03/05/2021,181,3.9929406574012796
2834,South East,9175000,03/05/2021,182,1.9836512261580381
1762,North East,2597000,03/05/2021,63,2.4258760107816713
4464,Wales,3136000,03/05/2021,0,0.0
3370,South West,5616000,03/05/2021,66,1.1752136752136753
4798,Wales,3136000,03/06/2020,82,2.614795918367347
1560,London,8899375,03/06/2020,21,0.2359716272210127
4240,West Midlands,2928000,03/06/2020,38,1.2978142076502732
6005,Scotland,5454000,03/06/2020,33,0.6050605060506051
488,East Midlands,4533000,03/06/2020,30,0.6618133686300464
